area_id,store_name,catch_copy,atmosphere_text,address,nearest_station_name,walk_minutes,regular_holiday,phone_number,has_lunch,lunch_hours,lunch_price_from,has_dinner,dinner_hours,dinner_price_from,scene_solo,scene_date,scene_friends,scene_family,spice_support_text,reservation_text,seat_type_text,map_url,official_site_url,information_source_type,information_source_url,last_verified_on,is_published
3,タイストリートフード by クルン・サイアム 池袋店,池袋駅構内徒歩1分、タイ屋台の活気と本格料理を気軽に楽しめるタイ・セレクト認定店,カラフルな屋台とタイ雑貨を配した、活気と異国情緒あふれる店内,東京都豊島区西池袋1-1-25 B1 東武イケチカDining,池袋駅,1,無休（東武百貨店の休館日に準ずる）,03-6914-2212,true,11:00～15:00（L.O.14:30）,1400,true,15:00～23:00（フードL.O.22:00、ドリンクL.O.22:30）,550,true,false,true,true,,店内予約不可。テイクアウトはWeb予約可,31席（カウンター5席、テーブル26席）,https://www.google.com/maps/search/?api=1&query=タイストリートフード%20池袋店,https://www.sscy.co.jp/business_restaurant/thaistreetfood/,運営会社公式サイト・タイ政府認定サイト,https://www.sscy.co.jp/business_restaurant/thaistreetfood/,2026-09-11,false
3,ジャスミンタイ 池袋サンシャインシティ店,東池袋駅徒歩3分、落ち着いた空間で本格タイ料理を楽しめるタイ・セレクト認定店,タイの雰囲気を感じられる、落ち着いたテーブル席中心の店内,東京都豊島区東池袋3-1-1 サンシャインシティ専門店街アルパ3F,東池袋駅,3,サンシャインシティ専門店街アルパの休館日に準ずる,03-6914-0163,true,11:00～16:00（L.O.16:00）,1300,true,16:00～22:00（L.O.21:00）,650,false,true,true,true,辛さの調整可,電話予約可。平日ランチは予約不可,55席、テーブル席、個室なし、全席禁煙,https://www.google.com/maps/search/?api=1&query=ジャスミンタイ%20池袋サンシャインシティ店,https://www.jasmine-thai.co.jp/about/sunshinecity.html,店舗公式サイト・施設公式サイト・タイ政府認定サイト,https://www.jasmine-thai.co.jp/about/sunshinecity.html,2026-09-11,false
3,サイアムセラドン 池袋東武店,池袋駅徒歩3分、落ち着いた空間で本格タイ・チェンマイ料理を楽しめるタイ・セレクト認定店,木のぬくもりを感じる、おしゃれでゆったり寛げるアジアンテイストの店内,東京都豊島区西池袋1-1-25 東武百貨店池袋店11F,池袋駅,3,東武百貨店池袋店の休館日に準ずる,03-6912-6256,true,11:00～15:59,1300,true,16:00～22:00（料理・ドリンクL.O.21:30）,800,false,true,true,true,,Web・電話予約可,42席、テーブル席・ソファー席、個室・カウンターなし、全席禁煙,https://www.google.com/maps/search/?api=1&query=サイアムセラドン%20池袋東武店,https://siam-celadon-tobuikebukuro.owst.jp/,店舗公式予約サイト・タイ政府認定サイト,https://siam-celadon-tobuikebukuro.owst.jp/,2026-09-11,false
3,ピラブカウ,池袋駅徒歩5分、100種類以上の伝統的なタイ料理を楽しめるタイ・セレクト認定店,本場タイの雰囲気を身近に感じられる、少人数で利用しやすいこぢんまりとした店内,東京都豊島区池袋2-62-3 明輝ビル1F,池袋駅,5,臨時休業あり,03-3971-1518,true,月～金 11:00～15:30（L.O.15:00）／土日祝 11:00～15:30,1000,true,月～金 17:30～23:00（L.O.22:30）／土日祝 15:30～23:00（L.O.22:30）,750,true,true,true,true,,電話予約可,19席（カウンター3席、4名テーブル4卓）、個室なし、全席禁煙,https://www.google.com/maps/search/?api=1&query=ピラブカウ%20池袋,https://pirabkao-tokyo.com/,店舗公式サイト・タイ政府認定サイト・グルメ情報サイト,https://pirabkao-tokyo.com/,2026-09-11,false
3,ティーヌン 西早稲田本店,西早稲田駅徒歩5分、元祖トムヤムラーメンとタイ屋台料理を楽しめるタイ・セレクト認定店,程よい活気と本場タイの雰囲気を感じられる、気軽に立ち寄りやすい店内,東京都新宿区西早稲田2-18-25 横川ビル1F,西早稲田駅,5,年末年始,03-3202-1865,true,11:00～16:00,950,true,16:00～22:30（L.O.22:00）,400,true,false,true,true,辛くないメニューあり,予約不可,16席、カウンター席あり、個室なし、全席禁煙,https://www.google.com/maps/search/?api=1&query=ティーヌン%20西早稲田本店,https://tinun.jp/,運営会社公式サイト・店舗公式情報サイト・タイ政府認定サイト,https://tinun-nishiwaseda.owst.jp/,2026-09-11,false
4,スマイルタイランド浅草橋店,浅草橋駅すぐ、ゆったりと本格タイ料理を楽しめるタイ・セレクト認定店,明るく親しみやすい、ゆったり過ごせるカジュアルな店内,東京都台東区浅草橋1-22-3 FIVE-i 1F,浅草橋駅,0,年中無休,03-5839-2852,true,11:00～15:30（L.O.15:00）,1080,true,17:00～22:00（L.O.21:30）,1080,true,true,true,true,,ディナーは電話予約可。ランチは席の予約不可,31席、テーブル席、個室なし、全席禁煙,https://www.google.com/maps/search/?api=1&query=スマイルタイランド%20浅草橋店,https://smileasakusabashi.jimdofree.com/,店舗公式サイト・タイ政府認定サイト,https://smileasakusabashi.jimdofree.com/,2026-09-11,false
4,下町のタイ料理屋さん ジムサイアム,仲御徒町駅徒歩1分、アットホームな空間で本場の味を楽しめるタイ・セレクト認定店,シンプルで清潔感があり、ひとりでも利用しやすいアットホームな店内,東京都台東区上野5-15-17 ソルマーレビルB1F,仲御徒町駅,1,日曜日・祝祭日,03-5818-5511,true,11:30～14:30（L.O.14:00）,940,true,17:00～22:00（L.O.21:30）,600,true,true,true,true,辛さや苦手な食材はリクエスト可,電話予約可,31席、カウンター席・テーブル席・5～6名用半個室あり、店内禁煙（喫煙室あり）,https://www.google.com/maps/search/?api=1&query=下町のタイ料理屋さん%20ジムサイアム,https://yimsiam.jp/,店舗公式サイト・タイ政府認定サイト,https://yimsiam.jp/,2026-09-11,false
4,はすの里 新御徒町本店,新御徒町駅徒歩4分、裏路地の隠れ家で本格タイ料理を楽しめる人気店,白を基調とした清潔感のある、カウンター席も備えたモダンな店内,東京都台東区台東4-3-1,新御徒町駅,4,,03-6356-3957,true,11:30～14:30（L.O.14:00）,1000,true,17:30～22:00（料理L.O.21:00、ドリンクL.O.21:30）,1320,true,true,true,true,,Web・電話予約可（2名から）,27席（テーブル24席、カウンター3席）、個室なし、全席禁煙,https://www.google.com/maps/search/?api=1&query=はすの里%20新御徒町本店,https://www.instagram.com/hasunosato.thaifood/,店舗公式情報サイト・店舗公式SNS,https://tabelog.com/tokyo/A1311/A131101/13181146/,2026-09-11,false
4,ディップパレス 御徒町店,御徒町駅徒歩1分、タイ料理とインド料理を気軽に楽しめるエスニックダイニング,異国情緒があり、ソファー席でゆっくり過ごせる落ち着いた店内,東京都台東区上野3-27-12 御徒町吉池本店ビル8F,御徒町駅,1,年中無休,03-3834-0575,true,11:00～16:30,1000,true,16:30～23:00（料理L.O.22:00、ドリンクL.O.22:30）,2000,true,true,true,true,ベジタリアンメニューあり。パクチーが苦手な場合は予約時に相談可,公式Web・電話予約可,45席、ソファー席あり、個室なし、全席禁煙,https://www.google.com/maps/search/?api=1&query=ディップパレス%20御徒町店,https://www.dipway.co.jp/branches/,運営会社公式サイト・施設公式サイト・店舗公式情報サイト,https://www.dipway.co.jp/branches/,2026-09-11,false
4,クロープクルア,浅草駅徒歩2分、タイ・ベトナム料理を気軽に楽しめる浅草の老舗アジアンレストラン,ピンクの象をモチーフにした、カジュアルで可愛らしいカフェ風の店内,東京都台東区駒形2-6-3 ゴールドホース伊東1F,浅草駅,2,火曜日、月曜日のディナー（祝日は営業）。ほか不定休あり,03-3847-3461,true,月・水～土 11:30～14:30（L.O.14:00）／日祝 11:30～15:00（L.O.14:30）,860,true,水～土 17:30～22:15（料理L.O.21:30、ドリンクL.O.21:45）／日祝 17:30～22:00（料理L.O.21:00）,3000,true,true,true,true,辛さ・パクチーの有無を調整可。ベジタリアンメニューあり,Web・電話予約可,14席（カウンター6席、テーブル8席）、個室なし、全席禁煙,https://www.google.com/maps/search/?api=1&query=クロープクルア%20浅草,https://khroopkhrua.com/,店舗公式サイト・店舗公式予約サイト・店舗公式SNS,https://khroopkhrua.com/,2026-09-11,false
5,マンゴツリー東京,東京駅徒歩1分、丸ビル35階の眺望と洗練された本格タイ料理を楽しめるタイ・セレクト・シグネチャー認定店,都心の眺望とオープンキッチンを備えた、スタイリッシュで開放感のある店内,東京都千代田区丸の内2-4-1 丸の内ビルディング35F,東京駅,1,無休（1月1日・法定点検日を除く）,03-5224-5489,true,月～金 11:00～15:00（最終入店14:00）／土・祝 11:00～15:30（最終入店14:30）／日 11:00～15:00（最終入店14:00）,4000,true,月～土 17:00～23:00（L.O.21:30）／日祝 17:00～22:00（L.O.21:00）,10000,false,true,true,false,,公式オンライン予約可,100席、テーブル席・半個室あり、全席禁煙,https://www.google.com/maps/search/?api=1&query=マンゴツリー東京,https://www.arclandservice.co.jp/mangotree/mangotree-tokyo/,運営会社公式サイト・施設公式サイト・タイ政府認定情報,https://www.arclandservice.co.jp/mangotree/mangotree-tokyo/,2026-09-11,false
5,サイアム ヘリテイジ 東京,東京駅徒歩1分、新丸ビル6階からの眺望と本格タイ料理を楽しめるタイ・セレクト・シグネチャー認定店,東京駅を望むパノラマ窓とタイのテキスタイルを配した、上品で開放感のある店内,東京都千代田区丸の内1-5-1 新丸の内ビルディング6F,東京駅,1,無休（1月1日・法定点検日を除く）,03-5224-8050,true,月～金 11:00～15:00（L.O.14:30）／土日祝 11:00～16:00（L.O.15:30）,1760,true,月～土 17:00～23:00（L.O.22:00）／日祝 17:00～22:00（L.O.21:00）,770,false,true,true,true,,Web・電話予約可,80席、テーブル席・ソファー席・半個室・完全個室あり、カウンターなし、全席禁煙,https://www.google.com/maps/search/?api=1&query=サイアム%20ヘリテイジ%20東京,https://siamheritagetokyo.owst.jp/,施設公式サイト・店舗公式情報サイト,https://siamheritagetokyo.owst.jp/,2026-09-11,false
5,サイアムセラドン 東京店,東京駅徒歩2分、野菜とタイハーブを使ったチェンマイ料理を楽しめるタイ・セレクト認定店,木目を基調とした、温かみがあり落ち着いて過ごせる店内,東京都千代田区丸の内1-8-2 鉄鋼ビルディングB1F,東京駅,2,日曜日、不定休あり（施設に準ずる）,03-6268-0057,true,月～土・祝 11:00～15:00（L.O.14:30）,1000,true,月～木 17:00～22:00（L.O.21:00）／金 17:00～22:00（L.O.21:30）／土・祝 17:00～21:00（L.O.20:00）,3000,true,true,true,true,,Web・電話予約可,41席、テーブル席、個室なし、全席禁煙,https://www.google.com/maps/search/?api=1&query=サイアムセラドン%20東京店,https://spiceroad.co.jp/shop/siamceladon_tokyo,運営会社公式サイト・施設公式サイト・店舗公式情報サイト,https://spiceroad.co.jp/shop/siamceladon_tokyo,2026-09-11,false
5,タイ料理 サイアムオーキッド ヤエチカ店,東京駅徒歩2分、タイ屋台の雰囲気と本格タイ料理を気軽に楽しめるレストラン,タイ屋台の臨場感があり、カウンター席も備えた明るくカジュアルな店内,東京都中央区八重洲2-1 八重洲地下街南1号B1F,東京駅,2,八重洲地下街の休館日に準ずる,03-3516-6663,true,11:00～17:00,1150,true,平日 17:00～22:00（L.O.21:30）／土日祝 17:00～21:00（L.O.20:30）,700,true,false,true,true,辛さを抑えたメニューあり,電話予約可,67席、カウンター席・テーブル席、全席禁煙,https://www.google.com/maps/search/?api=1&query=サイアムオーキッド%20ヤエチカ店,https://gourmet-kineya.co.jp/brands/siamorchid/,運営会社公式サイト・施設公式サイト,https://www.yaechika.com/shop/sp192/,2026-09-11,false
5,タイ料理 沌（トン）丸ビル店,東京駅徒歩1分、タイ直輸入のハーブやスパイスを使った本格タイ料理を気軽に楽しめる店,丸ビル地下にある、ひとりでも立ち寄りやすいコンパクトでカジュアルな店内,東京都千代田区丸の内2-4-1 丸の内ビルディングB1F,東京駅,1,無休（1月1日・法定点検日を除く）,03-6665-9161,true,10:00～15:00,1000,true,平日・土曜 15:00～20:00／日曜・祝日 15:00～19:00,1000,true,false,true,false,,,10席、イートイン席、全席禁煙,https://www.google.com/maps/search/?api=1&query=タイ料理%20沌%20丸ビル店,https://www.marunouchi.com/tenants/1259/,施設公式サイト,https://www.marunouchi.com/tenants/1259/,2026-09-11,false
6,Thai Street by JASMINE THAI 日比谷フォートタワー店,内幸町駅徒歩2分、フードホールでタイ人シェフの本格タイ料理を気軽に楽しめるタイ・セレクト認定店,日比谷フォートタワーのフードホール内にある、ひとりでも利用しやすいカジュアルな店舗,東京都港区西新橋1-1-1 日比谷フォートタワー1F,内幸町駅,2,土曜日・日曜日・祝日,03-6206-1646,true,11:00～15:00（L.O.14:30）,850,true,17:00～22:00（L.O.21:30）,850,true,false,true,true,,予約不可,専用8席、フードホール共用席あり、個室なし、全席禁煙,https://www.google.com/maps/search/?api=1&query=Thai%20Street%20by%20JASMINE%20THAI%20日比谷フォートタワー店,https://www.jasmine-thai.co.jp/about/hibiya.html,店舗公式サイト・施設公式サイト・タイ政府認定サイト,https://www.jasmine-thai.co.jp/about/hibiya.html,2026-09-12,false
6,QUEEN of THAILAND 銀座,銀座一丁目駅徒歩1分、銀座の眺望と洗練された本格タイ料理を楽しめるタイ・セレクト・シグネチャー認定店,白と緑を基調にタイシルクや花を配した、高級感と開放感のあるメインダイニング,東京都中央区銀座2-2-14 マロニエゲート銀座1 10F,銀座一丁目駅,1,年末年始、マロニエゲート銀座1の休館日,050-3171-8349,true,月～金 11:00～15:00（L.O.14:00）／土日祝 11:00～16:00（L.O.15:00）,1600,true,17:00～23:00（フードL.O.22:00、ドリンクL.O.22:30）,4500,false,true,true,true,,公式Web・電話予約可,64席、テーブル席・半個室2室あり、全席禁煙,https://www.google.com/maps/search/?api=1&query=QUEEN%20of%20THAILAND%20銀座,https://queen-thailand-ginza.com/,店舗公式サイト・施設公式サイト・タイ政府認定サイト,https://queen-thailand-ginza.com/,2026-09-12,false
6,アジアティーク銀座店,銀座駅徒歩2分、銀座の夜景と本格タイ料理を楽しめるタイ・セレクト・シグネチャー認定店,銀座の街並みを望むテラスや個室を備えた、開放感のあるアジアンリゾート風の店内,東京都中央区銀座6-4-3 ジクロスギンザジェムズ3F,銀座駅,2,なし,03-6264-5825,true,11:00～16:00,2000,true,16:00～23:00（L.O.22:30）,6000,true,true,true,false,,公式Web・電話予約可,70席、カウンター席・テーブル席・テラス席・完全個室・半個室あり、全席禁煙,https://www.google.com/maps/search/?api=1&query=アジアティーク%20銀座店,https://asiatiqueginza.tokyo/,店舗公式サイト・施設公式サイト・タイ政府認定サイト,https://asiatiqueginza.tokyo/,2026-09-12,false
6,ASIAN TAWAN168 カレッタ汐留店,汐留駅徒歩2分、落ち着いた空間でベテランシェフの本格タイ料理を楽しめるタイ・セレクト認定店,タイから取り寄せた装飾品を配した、高級感があり落ち着いて過ごせる店内,東京都港区東新橋1-8-2 カレッタ汐留B2F,汐留駅,2,無休,03-6228-5783,true,月～土 11:00～14:00（L.O.13:30）／日祝 11:00～15:00,1100,true,月～土 17:00～23:00（L.O.22:30）／日祝 15:00～22:00（L.O.21:30）,250,true,true,true,true,辛さの調整可,ディナーのみWeb・電話予約可,52席、10名用個室1室あり、全席禁煙,https://www.google.com/maps/search/?api=1&query=ASIAN%20TAWAN168%20カレッタ汐留店,https://asian-tawan.com/,店舗公式サイト・施設公式サイト・タイ政府認定サイト,https://asian-tawan.com/,2026-09-12,false
6,ティーヌン 銀座ファイブ店,銀座駅徒歩1分、タイ屋台の活気と元祖トムヤムラーメンを楽しめるタイ・セレクト認定店,タイの屋台を再現した、元気で親しみやすく気軽に立ち寄れる店内,東京都中央区銀座5-1 銀座ファイブB1F,銀座駅,1,不定休（銀座ファイブに準ずる）,03-3569-0365,true,11:00～15:00,800,true,15:00～22:00（L.O.21:30）,390,true,false,true,true,辛くないメニューあり,電話予約可（平日は17:00～20:00入店、土日祝は終日）,70席、テーブル席・14名まで利用できる半個室あり、全席禁煙,https://www.google.com/maps/search/?api=1&query=ティーヌン%20銀座ファイブ店,https://gourmet-kineya.co.jp/search/2077/,運営会社公式サイト・施設公式サイト・タイ政府認定サイト,https://gourmet-kineya.co.jp/search/2077/,2026-09-12,false
7,クルン・サイアム 中目黒店,中目黒駅徒歩5分、異国情緒あふれる空間で本格タイ料理を楽しめるタイ・セレクト認定店,タイの装飾を配し、カウンター席とテーブル席を備えた異国情緒あふれる店内,東京都目黒区上目黒1-6-5 森ビル2F202,中目黒駅,5,無休,03-3714-6566,true,11:30～15:00（L.O.14:30）,1400,true,17:00～23:00（フードL.O.22:00、ドリンクL.O.22:30）,550,true,true,true,true,,公式Web・電話予約可,42席（カウンター6席、テーブル36席）,https://www.google.com/maps/search/?api=1&query=クルン・サイアム%20中目黒店,https://www.sscy.co.jp/business_restaurant/krungsiam/,運営会社公式サイト・店舗公式予約サイト・タイ政府認定サイト,https://www.sscy.co.jp/business_restaurant/krungsiam/,2026-09-12,false
7,バンコクオリエンタル,目黒駅徒歩3分、タイ人シェフによる本格タイ料理を楽しめるタイ・セレクト認定店,タイの伝統美と現代的なエレガンスが調和した、温かみのある落ち着いた店内,東京都目黒区下目黒1-3-1 シーダム目黒2F,目黒駅,3,無休（年明けに臨時休業あり）,03-5719-0082,true,11:30～15:00（L.O.14:30）,1350,true,17:00～22:30（L.O.22:00）,990,true,true,true,true,辛さのレベルを選択可,Web・電話予約可,60席、個室なし、全席禁煙,https://www.google.com/maps/search/?api=1&query=バンコクオリエンタル%20目黒,https://www.bangkok-oriental.com/,店舗公式サイト・タイ政府認定サイト・店舗公式予約サイト,https://www.bangkok-oriental.com/,2026-09-12,false
7,ブルーパパイアタイランド 恵比寿店,恵比寿駅徒歩3分、ランチビュッフェと本格タイ料理を楽しめるタイ・セレクト認定店,タイの雰囲気を感じられる、グループでの食事やパーティーにも利用しやすい店内,東京都渋谷区東3-17-11 ヴェラハイツ恵比寿東2F,恵比寿駅,3,年末年始,03-5793-4570,true,月～金 11:30～15:00（L.O.14:30）／土日祝 11:30～15:30（L.O.15:00）,1300,true,月～木・日祝 17:00～23:00／金土・祝前日 17:00～23:30（フードL.O.各1時間前、ドリンクL.O.各30分前）,700,false,true,true,true,,Web・電話予約可,45席、4～5名用個室・8名用半個室あり、全席禁煙,https://www.google.com/maps/search/?api=1&query=ブルーパパイアタイランド%20恵比寿店,https://www.instagram.com/bluepapayathailand_ebisu/,店舗公式SNS・店舗公式情報サイト・タイ政府認定サイト,https://thaiselect.jp/restaurants/restaurant_161/,2026-09-12,false
7,恵比寿 ガパオ食堂,恵比寿駅徒歩1分、タイ人料理人による本格料理を気軽に楽しめるタイ・セレクト認定店,タイリゾートをイメージした、カウンター席やソファー席を備える居心地のよい店内,東京都渋谷区恵比寿南2-1-1 恵比寿大森ビル2F,恵比寿駅,1,年中無休,03-3712-0222,true,11:30～15:00（L.O.14:30）,1000,true,17:00～23:00（料理L.O.22:00、ドリンクL.O.22:30）,980,true,true,true,true,,Web・電話予約可,49席、カウンター席・ソファー席・18～24名用個室あり、全席禁煙,https://www.google.com/maps/search/?api=1&query=恵比寿%20ガパオ食堂,https://www.gapao-shokudo.com/,店舗公式サイト・店舗公式情報サイト・タイ政府認定サイト,https://www.gapao-shokudo.com/,2026-09-12,false
7,タイ料理 みもっと,目黒駅徒歩8分、日本の旬とタイ各地の伝統料理を融合した月替わりコースを楽しめる完全予約制店,季節の食材と一皿ずつ向き合える、少人数制で落ち着いたスモールレストラン,東京都目黒区目黒1-24-7,目黒駅,8,日曜日・月曜日・火曜日,03-6426-6352,false,,,true,水～土 17:30～／20:00～の2部制,16500,false,true,true,false,,OMAKASEからの完全予約制,12席の少人数制,https://www.google.com/maps/search/?api=1&query=タイ料理%20みもっと%20目黒,https://mymot.jp/,店舗公式サイト・公式予約サイト,https://mymot.jp/,2026-09-12,false
8,ジャスミンタイ 六本木本店,六本木駅徒歩5分、木のぬくもりある空間でタイ人シェフの本格料理を楽しめるタイ・セレクト認定店,木のぬくもりを感じる、落ち着いてゆっくり過ごせる上品な店内,東京都港区六本木5-18-21 ファイブプラザ2F,六本木駅,5,年中無休,03-5114-5030,true,11:00～15:00（L.O.14:30）,1450,true,17:00～23:00（L.O.22:00）,650,false,true,true,true,,Web・電話予約可（平日ランチは予約不可）,60席、半個室1室あり、全席禁煙,https://www.google.com/maps/search/?api=1&query=ジャスミンタイ%20六本木本店,https://www.jasmine-thai.co.jp/,店舗公式サイト・店舗公式情報サイト・タイ政府認定サイト,https://www.jasmine-thai.co.jp/,2026-09-12,false
